graph_label,nodes,components,sequential_mean_time_s,parallel_4_processes_mean_time_s,parallel_4_processes_speedup,parallel_8_processes_mean_time_s,parallel_8_processes_speedup,parallel_12_processes_mean_time_s,parallel_12_processes_speedup,parallel_16_processes_mean_time_s,parallel_16_processes_speedup,distributed_2_workers_mean_time_s,distributed_2_workers_speedup,distributed_3_workers_mean_time_s,distributed_3_workers_speedup,distributed_5_workers_mean_time_s,distributed_5_workers_speedup,distributed_10_workers_mean_time_s,distributed_10_workers_speedup
one part medium & dense,5000,1,0.0034998573778131634,0.0064488199995442605,0.5427128339852095,0.0052592111112769796,0.6654719317710313,0.004839264444146668,0.7232209395058822,0.005845553333347198,0.5987213148578229,0.011365783021513682,0.3079292795919534,0.012467950777787944,0.28070830886245335,0.011238707245017092,0.31141102811134225,0.01126396782120638,0.3107126576856934
one part medium & grid,5000,1,0.0013859123839817281,0.003194320001057349,0.43386773508069904,0.003770726667426061,0.3675451726464615,0.003188853333510148,0.43461151675363424,0.0044419733333900995,0.3120037604827322,0.005298106532427483,0.2615863564651147,0.00593518599998788,0.23350782671083237,0.0054836165999101166,0.25273692256392344,0.005312857729344008,0.26086005961105424
one part large & sparse,50000,1.6,0.020620428147512054,0.027961437777978264,0.7374595080283101,0.02530087999960718,0.8150083375689781,0.025899173332436475,0.7961809391686935,0.027168155555540984,0.7589925678008159,0.067376348043682,0.30604846873183517,0.07538160808887066,0.2735472042888994,0.06643863066726934,0.31036804853460964,0.06697265862312633,0.3078932294378353
one part large & medium,50000,1,0.0390394964499794,0.03940572888871732,0.9907061117998307,0.034110999999393245,1.1444840799353235,0.03212029777722718,1.215415147167715,0.03252053111107974,1.2004569149449915,0.10927529044371719,0.35725822636991206,0.13004444366662635,0.3002011877574606,0.11019586182131509,0.3542737068773305,0.10956748122213564,0.3563055024586287
one part large & dense,50000,1,0.06250572900274531,0.06668512000016764,0.9373264830683093,0.04627031777797836,1.3508817748490576,0.04248362222246619,1.4712900108995657,0.0477273422222475,1.309641938821581,0.16823021542206537,0.3715487663492997,0.19923620873329734,0.31372675378709436,0.17135616786642155,0.36477081496985175,0.17011704964388627,0.367427774779726
one part large & grid,50000,1,0.018175759774495266,0.03672806000104174,0.49487394036003357,0.03518903999987136,0.516517636586895,0.03606354666650683,0.5039925757323135,0.0427895600000132,0.4247708967909382,0.05665644273394719,0.3208065825778501,0.06621318213337872,0.2745036439705061,0.05692422420058089,0.3192974525300564,0.05586083153417955,0.32537574674974307
one part huge & sparse,500000,2.066666666666667,0.4179016747752251,0.32799074888931096,1.2741264081087145,0.2931956111110695,1.4253340054838473,0.29572816666720125,1.4131277364780483,0.2987781822222233,1.3987021129421053,1.199050831933467,0.3485270712846757,1.525716848066698,0.2739051320726821,1.2125215090437753,0.3446550610923123,1.201163800399647,0.34791397695816534
one part huge & medium,500000,1,0.7525055095913388,0.4410505244450178,1.7061662278675003,0.35139095333401604,2.141505074195925,0.33154933555601424,2.2696637540514852,0.34750387777774755,2.165459316320543,1.9899731722445317,0.3781485700847777,2.734542992311117,0.27518510833700727,1.9792610188671258,0.38019518518181705,1.985236229890466,0.37905086470886024
one part huge & dense,500000,1,1.1287104330110134,0.6506157311108028,1.7348342178630611,0.4558013355551844,2.4763210306003134,0.43447970666667163,2.597843847922104,0.4433539466666439,2.545845010509597,2.971320473978186,0.3798682918573999,3.957050976933331,0.2852403063772888,2.9653853837559128,0.3806285817668008,2.989772591689123,0.377523841160551
one part huge & grid,500000,1,0.2948990121418319,0.44966267333220455,0.6558227525458058,0.5051922133333089,0.583736257920641,0.5974767466667497,0.4935740408091825,0.6875693666666848,0.42890074287557817,0.9140897986663428,0.3226149253301914,1.104846172000028,0.26691409140513767,0.9253690974670462,0.3186825807659237,0.9319485012674704,0.31643273393407767
few parts tiny & sparse,50,5,0.0005259900601191071,3.330177779490542e-05,15.794654067975141,3.313733342414101e-05,15.873035207350632,3.300533322746762e-05,15.936517183270519,3.223733333975866e-05,16.316177723993,0.0014209637150957456,0.3701643149161381,0.001866783822210386,0.2817627053872273,0.0019761458886528595,0.26616965029726375,0.0018816040888971959,0.2795434295784236
